industry_category,year,value,unit,gender,source_id
Ｎ生活関連サービス業，娯楽業,2020,781098.0,人,男,estat-national-census
Ｎ生活関連サービス業，娯楽業,2015,947128.0,人,男,estat-national-census
Ｎ生活関連サービス業，娯楽業,2020,924975.0,人,男,estat-national-census
Ｎ生活関連サービス業，娯楽業,1995,1433000.0,人,女,estat-national-census
Ｎ生活関連サービス業，娯楽業,2000,1422000.0,人,女,estat-national-census
Ｎ生活関連サービス業，娯楽業,2005,1375698.0,人,女,estat-national-census
Ｎ生活関連サービス業，娯楽業,2010,1308668.0,人,女,estat-national-census
Ｎ生活関連サービス業，娯楽業,2015,1250867.0,人,女,estat-national-census
Ｎ生活関連サービス業，娯楽業,2020,1198348.0,人,女,estat-national-census
Ｎ生活関連サービス業，娯楽業,2015,1423487.0,人,女,estat-national-census
Ｎ生活関連サービス業，娯楽業,2020,1393224.0,人,女,estat-national-census
Ｏ教育，学習支援業,1995,2630000.0,人,総数,estat-national-census
Ｏ教育，学習支援業,2000,2606000.0,人,総数,estat-national-census
Ｏ教育，学習支援業,2005,2674606.0,人,総数,estat-national-census
Ｏ教育，学習支援業,2010,2635120.0,人,総数,estat-national-census
Ｏ教育，学習支援業,2015,2661560.0,人,総数,estat-national-census
Ｏ教育，学習支援業,2020,2829694.0,人,総数,estat-national-census
Ｏ教育，学習支援業,2015,3061706.0,人,総数,estat-national-census
Ｏ教育，学習支援業,2020,3310184.0,人,総数,estat-national-census
Ｏ教育，学習支援業,1995,1268000.0,人,男,estat-national-census
Ｏ教育，学習支援業,2000,1214000.0,人,男,estat-national-census
Ｏ教育，学習支援業,2005,1202746.0,人,男,estat-national-census
Ｏ教育，学習支援業,2010,1161794.0,人,男,estat-national-census
Ｏ教育，学習支援業,2015,1149162.0,人,男,estat-national-census
Ｏ教育，学習支援業,2020,1168959.0,人,男,estat-national-census
Ｏ教育，学習支援業,2015,1329952.0,人,男,estat-national-census
Ｏ教育，学習支援業,2020,1380710.0,人,男,estat-national-census
Ｏ教育，学習支援業,1995,1363000.0,人,女,estat-national-census
Ｏ教育，学習支援業,2000,1392000.0,人,女,estat-national-census
Ｏ教育，学習支援業,2005,1471860.0,人,女,estat-national-census
Ｏ教育，学習支援業,2010,1473326.0,人,女,estat-national-census
Ｏ教育，学習支援業,2015,1512398.0,人,女,estat-national-census
Ｏ教育，学習支援業,2020,1660735.0,人,女,estat-national-census
Ｏ教育，学習支援業,2015,1731754.0,人,女,estat-national-census
Ｏ教育，学習支援業,2020,1929474.0,人,女,estat-national-census
Ｐ医療，福祉,1995,3591000.0,人,総数,estat-national-census
Ｐ医療，福祉,2000,4274000.0,人,総数,estat-national-census
Ｐ医療，福祉,2005,5331814.0,人,総数,estat-national-census
Ｐ医療，福祉,2010,6127782.0,人,総数,estat-national-census
Ｐ医療，福祉,2015,7023950.0,人,総数,estat-national-census
Ｐ医療，福祉,2020,7633170.0,人,総数,estat-national-census
Ｐ医療，福祉,2015,7940616.0,人,総数,estat-national-census
Ｐ医療，福祉,2020,8818261.0,人,総数,estat-national-census
Ｐ医療，福祉,1995,880000.0,人,男,estat-national-census
Ｐ医療，福祉,2000,1001000.0,人,男,estat-national-census
Ｐ医療，福祉,2005,1222960.0,人,男,estat-national-census
Ｐ医療，福祉,2010,1437331.0,人,男,estat-national-census
Ｐ医療，福祉,2015,1695037.0,人,男,estat-national-census
Ｐ医療，福祉,2020,1860056.0,人,男,estat-national-census
Ｐ医療，福祉,2015,1933966.0,人,男,estat-national-census
Ｐ医療，福祉,2020,2173340.0,人,男,estat-national-census
Ｐ医療，福祉,1995,2710000.0,人,女,estat-national-census
Ｐ医療，福祉,2000,3273000.0,人,女,estat-national-census
Ｐ医療，福祉,2005,4108854.0,人,女,estat-national-census
Ｐ医療，福祉,2010,4690451.0,人,女,estat-national-census
Ｐ医療，福祉,2015,5328913.0,人,女,estat-national-census
Ｐ医療，福祉,2020,5773114.0,人,女,estat-national-census
Ｐ医療，福祉,2015,6006650.0,人,女,estat-national-census
Ｐ医療，福祉,2020,6644921.0,人,女,estat-national-census
Ｑ複合サービス事業,1995,698000.0,人,総数,estat-national-census
Ｑ複合サービス事業,2000,695000.0,人,総数,estat-national-census
Ｑ複合サービス事業,2005,668297.0,人,総数,estat-national-census
Ｑ複合サービス事業,2010,376986.0,人,総数,estat-national-census
Ｑ複合サービス事業,2015,483014.0,人,総数,estat-national-census
Ｑ複合サービス事業,2020,441618.0,人,総数,estat-national-census
Ｑ複合サービス事業,2015,523250.0,人,総数,estat-national-census
Ｑ複合サービス事業,2020,489988.0,人,総数,estat-national-census
Ｑ複合サービス事業,1995,474000.0,人,男,estat-national-census
Ｑ複合サービス事業,2000,463000.0,人,男,estat-national-census
Ｑ複合サービス事業,2005,433882.0,人,男,estat-national-census
Ｑ複合サービス事業,2010,215772.0,人,男,estat-national-census
Ｑ複合サービス事業,2015,291462.0,人,男,estat-national-census
Ｑ複合サービス事業,2020,258336.0,人,男,estat-national-census
Ｑ複合サービス事業,2015,315860.0,人,男,estat-national-census
Ｑ複合サービス事業,2020,286990.0,人,男,estat-national-census
Ｑ複合サービス事業,1995,224000.0,人,女,estat-national-census
Ｑ複合サービス事業,2000,233000.0,人,女,estat-national-census
