industry_or_category,indicator,value,year,source_id
事業所数　構成比 （％） / 情報通信機械器具製造業,—,0.9,—,estat-corporate
事業所数　構成比 （％） / 輸送用機械器具製造業,—,4.8,—,estat-corporate
事業所数　構成比 （％） / その他の製造業,—,3.9,—,estat-corporate
従業者数　実数 （人） / 製造業計,—,8329065.0,—,estat-corporate
従業者数　実数 （人） / 食料品製造業,—,1131651.0,—,estat-corporate
従業者数　実数 （人） / 飲料・たばこ・飼料製造業,—,106606.0,—,estat-corporate
従業者数　実数 （人） / 繊維工業,—,347097.0,—,estat-corporate
従業者数　実数 （人） / 木材・木製品製造業（家具を除く）,—,112510.0,—,estat-corporate
従業者数　実数 （人） / 家具・装備品製造業,—,118517.0,—,estat-corporate
従業者数　実数 （人） / パルプ・紙・紙加工品製造業,—,203810.0,—,estat-corporate
従業者数　実数 （人） / 印刷・同関連業,—,325152.0,—,estat-corporate
従業者数　実数 （人） / 化学工業,—,348813.0,—,estat-corporate
従業者数　実数 （人） / 石油製品・石炭製品製造業,—,24647.0,—,estat-corporate
従業者数　実数 （人） / プラスチック製品製造業（別掲を除く）,—,451135.0,—,estat-corporate
従業者数　実数 （人） / ゴム製品製造業,—,124607.0,—,estat-corporate
従業者数　実数 （人） / なめし革・同製品・毛皮製造業,—,29722.0,—,estat-corporate
従業者数　実数 （人） / 窯業・土石製品製造業,—,279028.0,—,estat-corporate
従業者数　実数 （人） / 鉄鋼業,—,233971.0,—,estat-corporate
従業者数　実数 （人） / 非鉄金属製造業,—,153483.0,—,estat-corporate
従業者数　実数 （人） / 金属製品製造業,—,652543.0,—,estat-corporate
従業者数　実数 （人） / はん用機械器具製造業,—,359037.0,—,estat-corporate
従業者数　実数 （人） / 生産用機械器具製造業,—,611579.0,—,estat-corporate
従業者数　実数 （人） / 業務用機械器具製造業,—,241708.0,—,estat-corporate
従業者数　実数 （人） / 電子部品・デバイス・電子回路製造業,—,518433.0,—,estat-corporate
従業者数　実数 （人） / 電気機械器具製造業,—,509845.0,—,estat-corporate
従業者数　実数 （人） / 情報通信機械器具製造業,—,238615.0,—,estat-corporate
従業者数　実数 （人） / 輸送用機械器具製造業,—,1026732.0,—,estat-corporate
従業者数　実数 （人） / その他の製造業,—,179824.0,—,estat-corporate
従業者数　前年比 （％） / 製造業計,—,-2.2,—,estat-corporate
従業者数　前年比 （％） / 食料品製造業,—,-0.3,—,estat-corporate
従業者数　前年比 （％） / 飲料・たばこ・飼料製造業,—,1.4,—,estat-corporate
従業者数　前年比 （％） / 繊維工業,—,-3.9,—,estat-corporate
従業者数　前年比 （％） / 木材・木製品製造業（家具を除く）,—,-5.9,—,estat-corporate
従業者数　前年比 （％） / 家具・装備品製造業,—,-4.9,—,estat-corporate
従業者数　前年比 （％） / パルプ・紙・紙加工品製造業,—,-2.5,—,estat-corporate
従業者数　前年比 （％） / 印刷・同関連業,—,-2.9,—,estat-corporate
従業者数　前年比 （％） / 化学工業,—,0.1,—,estat-corporate
従業者数　前年比 （％） / 石油製品・石炭製品製造業,—,-0.8,—,estat-corporate
従業者数　前年比 （％） / プラスチック製品製造業（別掲を除く）,—,-4.2,—,estat-corporate
従業者数　前年比 （％） / ゴム製品製造業,—,-5.9,—,estat-corporate
従業者数　前年比 （％） / なめし革・同製品・毛皮製造業,—,-0.6,—,estat-corporate
従業者数　前年比 （％） / 窯業・土石製品製造業,—,-4.0,—,estat-corporate
従業者数　前年比 （％） / 鉄鋼業,—,2.1,—,estat-corporate
従業者数　前年比 （％） / 非鉄金属製造業,—,-1.0,—,estat-corporate
従業者数　前年比 （％） / 金属製品製造業,—,-2.0,—,estat-corporate
従業者数　前年比 （％） / はん用機械器具製造業,—,-1.7,—,estat-corporate
従業者数　前年比 （％） / 生産用機械器具製造業,—,2.4,—,estat-corporate
従業者数　前年比 （％） / 業務用機械器具製造業,—,0.2,—,estat-corporate
従業者数　前年比 （％） / 電子部品・デバイス・電子回路製造業,—,-5.1,—,estat-corporate
従業者数　前年比 （％） / 電気機械器具製造業,—,-3.8,—,estat-corporate
従業者数　前年比 （％） / 情報通信機械器具製造業,—,-10.8,—,estat-corporate
従業者数　前年比 （％） / 輸送用機械器具製造業,—,-2.4,—,estat-corporate
従業者数　前年比 （％） / その他の製造業,—,-1.3,—,estat-corporate
従業者数　構成比 （％） / 製造業計,—,100.0,—,estat-corporate
従業者数　構成比 （％） / 食料品製造業,—,13.6,—,estat-corporate
従業者数　構成比 （％） / 飲料・たばこ・飼料製造業,—,1.3,—,estat-corporate
従業者数　構成比 （％） / 繊維工業,—,4.2,—,estat-corporate
従業者数　構成比 （％） / 木材・木製品製造業（家具を除く）,—,1.4,—,estat-corporate
従業者数　構成比 （％） / 家具・装備品製造業,—,1.4,—,estat-corporate
従業者数　構成比 （％） / パルプ・紙・紙加工品製造業,—,2.4,—,estat-corporate
従業者数　構成比 （％） / 印刷・同関連業,—,3.9,—,estat-corporate
従業者数　構成比 （％） / 化学工業,—,4.2,—,estat-corporate
従業者数　構成比 （％） / 石油製品・石炭製品製造業,—,0.3,—,estat-corporate
従業者数　構成比 （％） / プラスチック製品製造業（別掲を除く）,—,5.4,—,estat-corporate
従業者数　構成比 （％） / ゴム製品製造業,—,1.5,—,estat-corporate
従業者数　構成比 （％） / なめし革・同製品・毛皮製造業,—,0.4,—,estat-corporate
従業者数　構成比 （％） / 窯業・土石製品製造業,—,3.4,—,estat-corporate
従業者数　構成比 （％） / 鉄鋼業,—,2.8,—,estat-corporate
従業者数　構成比 （％） / 非鉄金属製造業,—,1.8,—,estat-corporate
従業者数　構成比 （％） / 金属製品製造業,—,7.8,—,estat-corporate
従業者数　構成比 （％） / はん用機械器具製造業,—,4.3,—,estat-corporate
従業者数　構成比 （％） / 生産用機械器具製造業,—,7.3,—,estat-corporate
従業者数　構成比 （％） / 業務用機械器具製造業,—,2.9,—,estat-corporate
従業者数　構成比 （％） / 電子部品・デバイス・電子回路製造業,—,6.2,—,estat-corporate
従業者数　構成比 （％） / 電気機械器具製造業,—,6.1,—,estat-corporate
従業者数　構成比 （％） / 情報通信機械器具製造業,—,2.9,—,estat-corporate
従業者数　構成比 （％） / 輸送用機械器具製造業,—,12.3,—,estat-corporate
従業者数　構成比 （％） / その他の製造業,—,2.2,—,estat-corporate
現金給与総額　金額 （百万円） / 製造業計,—,37126982.0,—,estat-corporate
現金給与総額　金額 （百万円） / 食料品製造業,—,3049428.0,—,estat-corporate
現金給与総額　金額 （百万円） / 飲料・たばこ・飼料製造業,—,444877.0,—,estat-corporate
現金給与総額　金額 （百万円） / 繊維工業,—,928724.0,—,estat-corporate
現金給与総額　金額 （百万円） / 木材・木製品製造業（家具を除く）,—,377267.0,—,estat-corporate
現金給与総額　金額 （百万円） / 家具・装備品製造業,—,419516.0,—,estat-corporate
現金給与総額　金額 （百万円） / パルプ・紙・紙加工品製造業,—,858552.0,—,estat-corporate
現金給与総額　金額 （百万円） / 印刷・同関連業,—,1331007.0,—,estat-corporate
現金給与総額　金額 （百万円） / 化学工業,—,1976448.0,—,estat-corporate
現金給与総額　金額 （百万円） / 石油製品・石炭製品製造業,—,169156.0,—,estat-corporate
現金給与総額　金額 （百万円） / プラスチック製品製造業（別掲を除く）,—,1751022.0,—,estat-corporate
現金給与総額　金額 （百万円） / ゴム製品製造業,—,545449.0,—,estat-corporate
現金給与総額　金額 （百万円） / なめし革・同製品・毛皮製造業,—,84289.0,—,estat-corporate
現金給与総額　金額 （百万円） / 窯業・土石製品製造業,—,1214672.0,—,estat-corporate
現金給与総額　金額 （百万円） / 鉄鋼業,—,1416632.0,—,estat-corporate
現金給与総額　金額 （百万円） / 非鉄金属製造業,—,788220.0,—,estat-corporate
現金給与総額　金額 （百万円） / 金属製品製造業,—,2707866.0,—,estat-corporate
現金給与総額　金額 （百万円） / はん用機械器具製造業,—,1884575.0,—,estat-corporate
現金給与総額　金額 （百万円） / 生産用機械器具製造業,—,3083958.0,—,estat-corporate
現金給与総額　金額 （百万円） / 業務用機械器具製造業,—,1143372.0,—,estat-corporate
現金給与総額　金額 （百万円） / 電子部品・デバイス・電子回路製造業,—,2597617.0,—,estat-corporate
現金給与総額　金額 （百万円） / 電気機械器具製造業,—,2417450.0,—,estat-corporate
現金給与総額　金額 （百万円） / 情報通信機械器具製造業,—,1254705.0,—,estat-corporate
現金給与総額　金額 （百万円） / 輸送用機械器具製造業,—,5992101.0,—,estat-corporate
現金給与総額　金額 （百万円） / その他の製造業,—,690080.0,—,estat-corporate
現金給与総額　前年比 （％） / 製造業計,—,-1.5,—,estat-corporate
現金給与総額　前年比 （％） / 食料品製造業,—,-1.6,—,estat-corporate
現金給与総額　前年比 （％） / 飲料・たばこ・飼料製造業,—,0.2,—,estat-corporate
現金給与総額　前年比 （％） / 繊維工業,—,-5.4,—,estat-corporate
現金給与総額　前年比 （％） / 木材・木製品製造業（家具を除く）,—,-6.4,—,estat-corporate
現金給与総額　前年比 （％） / 家具・装備品製造業,—,-5.8,—,estat-corporate
現金給与総額　前年比 （％） / パルプ・紙・紙加工品製造業,—,-3.9,—,estat-corporate
現金給与総額　前年比 （％） / 印刷・同関連業,—,-3.4,—,estat-corporate
現金給与総額　前年比 （％） / 化学工業,—,-0.5,—,estat-corporate
現金給与総額　前年比 （％） / 石油製品・石炭製品製造業,—,-2.3,—,estat-corporate
現金給与総額　前年比 （％） / プラスチック製品製造業（別掲を除く）,—,-1.6,—,estat-corporate
現金給与総額　前年比 （％） / ゴム製品製造業,—,-3.9,—,estat-corporate
現金給与総額　前年比 （％） / なめし革・同製品・毛皮製造業,—,-1.7,—,estat-corporate
現金給与総額　前年比 （％） / 窯業・土石製品製造業,—,-3.9,—,estat-corporate
現金給与総額　前年比 （％） / 鉄鋼業,—,-0.5,—,estat-corporate
現金給与総額　前年比 （％） / 非鉄金属製造業,—,0.5,—,estat-corporate
現金給与総額　前年比 （％） / 金属製品製造業,—,-2.3,—,estat-corporate
現金給与総額　前年比 （％） / はん用機械器具製造業,—,-1.5,—,estat-corporate
現金給与総額　前年比 （％） / 生産用機械器具製造業,—,1.4,—,estat-corporate
現金給与総額　前年比 （％） / 業務用機械器具製造業,—,2.4,—,estat-corporate
現金給与総額　前年比 （％） / 電子部品・デバイス・電子回路製造業,—,-0.2,—,estat-corporate
現金給与総額　前年比 （％） / 電気機械器具製造業,—,-3.5,—,estat-corporate
現金給与総額　前年比 （％） / 情報通信機械器具製造業,—,-9.5,—,estat-corporate
現金給与総額　前年比 （％） / 輸送用機械器具製造業,—,0.8,—,estat-corporate
現金給与総額　前年比 （％） / その他の製造業,—,-1.2,—,estat-corporate
現金給与総額　構成比 （％） / 製造業計,—,100.0,—,estat-corporate
現金給与総額　構成比 （％） / 食料品製造業,—,8.2,—,estat-corporate
現金給与総額　構成比 （％） / 飲料・たばこ・飼料製造業,—,1.2,—,estat-corporate
現金給与総額　構成比 （％） / 繊維工業,—,2.5,—,estat-corporate
現金給与総額　構成比 （％） / 木材・木製品製造業（家具を除く）,—,1.0,—,estat-corporate
現金給与総額　構成比 （％） / 家具・装備品製造業,—,1.1,—,estat-corporate
現金給与総額　構成比 （％） / パルプ・紙・紙加工品製造業,—,2.3,—,estat-corporate
現金給与総額　構成比 （％） / 印刷・同関連業,—,3.6,—,estat-corporate
現金給与総額　構成比 （％） / 化学工業,—,5.3,—,estat-corporate
現金給与総額　構成比 （％） / 石油製品・石炭製品製造業,—,0.5,—,estat-corporate
現金給与総額　構成比 （％） / プラスチック製品製造業（別掲を除く）,—,4.7,—,estat-corporate
現金給与総額　構成比 （％） / ゴム製品製造業,—,1.5,—,estat-corporate
現金給与総額　構成比 （％） / なめし革・同製品・毛皮製造業,—,0.2,—,estat-corporate
現金給与総額　構成比 （％） / 窯業・土石製品製造業,—,3.3,—,estat-corporate
