value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
5104,014,人口・６５－６９歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
5429,014,人口・６５－６９歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
1571,014,人口・６５－６９歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
1744,014,人口・６５－６９歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
1781,014,人口・６５－６９歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
2195,014,人口・６５－６９歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
2397,014,人口・６５－６９歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
1878,014,人口・６５－６９歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
2221,014,人口・６５－６９歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
2412,014,人口・６５－６９歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
2909,014,人口・６５－６９歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3032,014,人口・６５－６９歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
2576,015,人口・７０－７４歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
3023,015,人口・７０－７４歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
3563,015,人口・７０－７４歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3818,015,人口・７０－７４歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3911,015,人口・７０－７４歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
1148,015,人口・７０－７４歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
1318,015,人口・７０－７４歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
1504,015,人口・７０－７４歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
1560,015,人口・７０－７４歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
1581,015,人口・７０－７４歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
1428,015,人口・７０－７４歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
1705,015,人口・７０－７４歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
2060,015,人口・７０－７４歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
2258,015,人口・７０－７４歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
2329,015,人口・７０－７４歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
1641,016,人口・７５－７９歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
2037,016,人口・７５－７９歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
2493,016,人口・７５－７９歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3018,016,人口・７５－７９歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3102,016,人口・７５－７９歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
688,016,人口・７５－７９歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
849,016,人口・７５－７９歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
1017,016,人口・７５－７９歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
