value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,37000,香川県,2024000000,2024年
28,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,38000,愛媛県,2024000000,2024年
4,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,39000,高知県,2024000000,2024年
78,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,40000,福岡県,2024000000,2024年
68,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,41000,佐賀県,2024000000,2024年
28,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,42000,長崎県,2024000000,2024年
21,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,43000,熊本県,2024000000,2024年
13,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,44000,大分県,2024000000,2024年
116,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,45000,宮崎県,2024000000,2024年
9,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,46000,鹿児島県,2024000000,2024年
222,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,47000,沖縄県,2024000000,2024年
418,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,00000,全国,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,01000,北海道,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,02000,青森県,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,03000,岩手県,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,04000,宮城県,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,05000,秋田県,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,06000,山形県,2024000000,2024年
1,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,07000,福島県,2024000000,2024年
1,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,08000,茨城県,2024000000,2024年
1,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,09000,栃木県,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,10000,群馬県,2024000000,2024年
26,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,11000,埼玉県,2024000000,2024年
3,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,12000,千葉県,2024000000,2024年
74,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,13000,東京都,2024000000,2024年
3,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,14000,神奈川県,2024000000,2024年
72,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,15000,新潟県,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,16000,富山県,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,17000,石川県,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,18000,福井県,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,19000,山梨県,2024000000,2024年
0,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,20000,長野県,2024000000,2024年
1,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,14,給与住宅,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,21000,岐阜県,2024000000,2024年
