value,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,12B20,千葉県　県東,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,12B30,千葉県　県南,1997000000,1997年
6,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,12B40,千葉県　県西,1997000000,1997年
24,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13000,東京都,1997000000,1997年
21,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13B01,東京都　人口10万以上市,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13B02,東京都　人口5～10万市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13B04,東京都　町村,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13B10,東京都　区部中心部,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13B20,東京都　川の手,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13B30,東京都　新山の手,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13B40,東京都　北多摩西部,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13B50,東京都　北多摩南部,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13B60,東京都　北多摩北部,1997000000,1997年
10,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13B70,東京都　多摩南部,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13B80,東京都　多摩西部,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,13B90,東京都　島しょ,1997000000,1997年
16,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,14000,神奈川県,1997000000,1997年
13,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,14B01,神奈川県　人口10万以上市,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,14B02,神奈川県　人口5～10万市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,14B04,神奈川県　町村,1997000000,1997年
6,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,14B10,神奈川県　京浜,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,14B20,神奈川県　湘南・三浦,1997000000,1997年
8,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,14B30,神奈川県　県央・津久井,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,14B40,神奈川県　県西,1997000000,1997年
13,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,15000,新潟県,1997000000,1997年
8,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,15B01,新潟県　人口10万以上市,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,15B02,新潟県　人口5～10万市,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,15B03,新潟県　人口5万未満市,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,15B04,新潟県　町村,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,15B10,新潟県　新潟,1997000000,1997年
10,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,15B20,新潟県　長岡,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,15B30,新潟県　上越,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,15B40,新潟県　佐渡,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,16000,富山県,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,16B01,富山県　人口10万以上市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,16B02,富山県　人口5～10万市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,16B03,富山県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,16B04,富山県　町村,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,16B10,富山県　県東部　富山,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,16B20,富山県　県西部　高岡・射水,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,16B30,富山県　県東部　新川,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,16B40,富山県　県西部　砺波,1997000000,1997年
5,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,17000,石川県,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,17B01,石川県　人口10万以上市,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,17B02,石川県　人口5～10万市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,17B03,石川県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,17B04,石川県　町村,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,17B10,石川県　石川中央,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,17B20,石川県　南加賀,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,17B30,石川県　中能登,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,17B40,石川県　奥能登,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,18000,福井県,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,18B01,福井県　人口10万以上市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,18B02,福井県　人口5～10万市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,18B03,福井県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,18B04,福井県　町村,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,18B10,福井県　福井・坂井,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,18B20,福井県　丹南,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,18B30,福井県　奥越,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,18B40,福井県　嶺南,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,19000,山梨県,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,19B01,山梨県　人口10万以上市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,19B02,山梨県　人口5～10万市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,19B03,山梨県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,19B04,山梨県　町村,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,19B10,山梨県　峡中・峡南,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,19B20,山梨県　峡東,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,19B30,山梨県　峡北,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,19B40,山梨県　郡内,1997000000,1997年
7,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,20000,長野県,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,20B01,長野県　人口10万以上市,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,20B02,長野県　人口5～10万市,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,20B03,長野県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,20B04,長野県　町村,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,20B10,長野県　長野・北信,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,20B20,長野県　佐久・上小,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,20B30,長野県　諏訪・木曽・松本・大北,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,20B40,長野県　上伊那・飯伊,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,21000,岐阜県,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,21B01,岐阜県　人口10万以上市,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,21B02,岐阜県　人口5～10万市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,21B03,岐阜県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,21B04,岐阜県　町村,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,21B10,岐阜県　岐阜,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,21B20,岐阜県　西濃,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,21B30,岐阜県　中濃,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,21B40,岐阜県　東濃,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,21B50,岐阜県　飛騨,1997000000,1997年
10,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,22000,静岡県,1997000000,1997年
8,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,22B01,静岡県　人口10万以上市,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,22B02,静岡県　人口5～10万市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,22B03,静岡県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,22B04,静岡県　町村,1997000000,1997年
5,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,22B10,静岡県　東部,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,22B20,静岡県　中部,1997000000,1997年
4,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,22B30,静岡県　西部,1997000000,1997年
37,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,23000,愛知県,1997000000,1997年
24,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,23B01,愛知県　人口10万以上市,1997000000,1997年
8,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,23B02,愛知県　人口5～10万市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,23B03,愛知県　人口5万未満市,1997000000,1997年
5,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,23B04,愛知県　町村,1997000000,1997年
27,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,23B10,愛知県　尾張,1997000000,1997年
6,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,23B20,愛知県　西三河,1997000000,1997年
