value,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
102.1,031,31歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1589,032,32歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
802,032,32歳,002,総人口・男,00000,全国,1991000000,1991年,千人
787,032,32歳,003,総人口・女,00000,全国,1991000000,1991年,千人
102.0,032,32歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1569,032,32歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
792,032,32歳,006,日本人・男,00000,全国,1991000000,1991年,千人
777,032,32歳,007,日本人・女,00000,全国,1991000000,1991年,千人
102.0,032,32歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1553,033,33歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
783,033,33歳,002,総人口・男,00000,全国,1991000000,1991年,千人
770,033,33歳,003,総人口・女,00000,全国,1991000000,1991年,千人
101.7,033,33歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1533,033,33歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
773,033,33歳,006,日本人・男,00000,全国,1991000000,1991年,千人
760,033,33歳,007,日本人・女,00000,全国,1991000000,1991年,千人
101.7,033,33歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1515,034,34歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
764,034,34歳,002,総人口・男,00000,全国,1991000000,1991年,千人
751,034,34歳,003,総人口・女,00000,全国,1991000000,1991年,千人
101.8,034,34歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1495,034,34歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
754,034,34歳,006,日本人・男,00000,全国,1991000000,1991年,千人
741,034,34歳,007,日本人・女,00000,全国,1991000000,1991年,千人
101.8,034,34歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1600,035,35歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
807,035,35歳,002,総人口・男,00000,全国,1991000000,1991年,千人
793,035,35歳,003,総人口・女,00000,全国,1991000000,1991年,千人
101.7,035,35歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1581,035,35歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
797,035,35歳,006,日本人・男,00000,全国,1991000000,1991年,千人
784,035,35歳,007,日本人・女,00000,全国,1991000000,1991年,千人
101.7,035,35歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1665,036,36歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
841,036,36歳,002,総人口・男,00000,全国,1991000000,1991年,千人
824,036,36歳,003,総人口・女,00000,全国,1991000000,1991年,千人
102.0,036,36歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1646,036,36歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
831,036,36歳,006,日本人・男,00000,全国,1991000000,1991年,千人
815,036,36歳,007,日本人・女,00000,全国,1991000000,1991年,千人
101.9,036,36歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1669,037,37歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
841,037,37歳,002,総人口・男,00000,全国,1991000000,1991年,千人
828,037,37歳,003,総人口・女,00000,全国,1991000000,1991年,千人
101.5,037,37歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1651,037,37歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
832,037,37歳,006,日本人・男,00000,全国,1991000000,1991年,千人
820,037,37歳,007,日本人・女,00000,全国,1991000000,1991年,千人
101.5,037,37歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1784,038,38歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
896,038,38歳,002,総人口・男,00000,全国,1991000000,1991年,千人
888,038,38歳,003,総人口・女,00000,全国,1991000000,1991年,千人
100.9,038,38歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1768,038,38歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
888,038,38歳,006,日本人・男,00000,全国,1991000000,1991年,千人
880,038,38歳,007,日本人・女,00000,全国,1991000000,1991年,千人
100.9,038,38歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1891,039,39歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
950,039,39歳,002,総人口・男,00000,全国,1991000000,1991年,千人
942,039,39歳,003,総人口・女,00000,全国,1991000000,1991年,千人
100.9,039,39歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1875,039,39歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
