value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
146,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,09000,栃木県,2023100000,2023年度,戸・件
143,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,10000,群馬県,2023100000,2023年度,戸・件
981,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,11000,埼玉県,2023100000,2023年度,戸・件
566,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,12000,千葉県,2023100000,2023年度,戸・件
3869,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,13000,東京都,2023100000,2023年度,戸・件
1654,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,14000,神奈川県,2023100000,2023年度,戸・件
64,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,15000,新潟県,2023100000,2023年度,戸・件
4,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,16000,富山県,2023100000,2023年度,戸・件
16,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,17000,石川県,2023100000,2023年度,戸・件
42,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,18000,福井県,2023100000,2023年度,戸・件
73,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,19000,山梨県,2023100000,2023年度,戸・件
82,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,20000,長野県,2023100000,2023年度,戸・件
52,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,21000,岐阜県,2023100000,2023年度,戸・件
409,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,22000,静岡県,2023100000,2023年度,戸・件
1485,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,23000,愛知県,2023100000,2023年度,戸・件
65,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,24000,三重県,2023100000,2023年度,戸・件
41,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,25000,滋賀県,2023100000,2023年度,戸・件
63,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,26000,京都府,2023100000,2023年度,戸・件
368,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,27000,大阪府,2023100000,2023年度,戸・件
294,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,28000,兵庫県,2023100000,2023年度,戸・件
43,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,29000,奈良県,2023100000,2023年度,戸・件
24,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,30000,和歌山県,2023100000,2023年度,戸・件
28,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,31000,鳥取県,2023100000,2023年度,戸・件
8,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,32000,島根県,2023100000,2023年度,戸・件
100,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,33000,岡山県,2023100000,2023年度,戸・件
200,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,34000,広島県,2023100000,2023年度,戸・件
50,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,35000,山口県,2023100000,2023年度,戸・件
28,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,36000,徳島県,2023100000,2023年度,戸・件
25,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,37000,香川県,2023100000,2023年度,戸・件
74,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,13,貸家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,38000,愛媛県,2023100000,2023年度,戸・件
