value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
1005,2,勤労者世帯,001,平均,00117,子供洋服,00415,3大都市圏平均,1984000000,1984年
2869,2,勤労者世帯,001,平均,00118,シャツ・セーター類,00000,全国,1984000000,1984年
3049,2,勤労者世帯,001,平均,00118,シャツ・セーター類,00415,3大都市圏平均,1984000000,1984年
1048,2,勤労者世帯,001,平均,00119,男子シャツ・セーター類,00000,全国,1984000000,1984年
1130,2,勤労者世帯,001,平均,00119,男子シャツ・セーター類,00415,3大都市圏平均,1984000000,1984年
1462,2,勤労者世帯,001,平均,00120,婦人シャツ・セーター類,00000,全国,1984000000,1984年
1548,2,勤労者世帯,001,平均,00120,婦人シャツ・セーター類,00415,3大都市圏平均,1984000000,1984年
359,2,勤労者世帯,001,平均,00121,子供シャツ・セーター類,00000,全国,1984000000,1984年
372,2,勤労者世帯,001,平均,00121,子供シャツ・セーター類,00415,3大都市圏平均,1984000000,1984年
1563,2,勤労者世帯,001,平均,00122,下着類,00000,全国,1984000000,1984年
1555,2,勤労者世帯,001,平均,00122,下着類,00415,3大都市圏平均,1984000000,1984年
599,2,勤労者世帯,001,平均,00123,男子下着類,00000,全国,1984000000,1984年
591,2,勤労者世帯,001,平均,00123,男子下着類,00415,3大都市圏平均,1984000000,1984年
654,2,勤労者世帯,001,平均,00124,婦人下着類,00000,全国,1984000000,1984年
654,2,勤労者世帯,001,平均,00124,婦人下着類,00415,3大都市圏平均,1984000000,1984年
310,2,勤労者世帯,001,平均,00125,子供下着類,00000,全国,1984000000,1984年
309,2,勤労者世帯,001,平均,00125,子供下着類,00415,3大都市圏平均,1984000000,1984年
957,2,勤労者世帯,001,平均,00126,生地・糸類,00000,全国,1984000000,1984年
1054,2,勤労者世帯,001,平均,00126,生地・糸類,00415,3大都市圏平均,1984000000,1984年
1211,2,勤労者世帯,001,平均,00127,他の被服,00000,全国,1984000000,1984年
1258,2,勤労者世帯,001,平均,00127,他の被服,00415,3大都市圏平均,1984000000,1984年
1940,2,勤労者世帯,001,平均,00128,履物類,00000,全国,1984000000,1984年
2066,2,勤労者世帯,001,平均,00128,履物類,00415,3大都市圏平均,1984000000,1984年
1423,2,勤労者世帯,001,平均,00129,被服関連サービス,00000,全国,1984000000,1984年
1571,2,勤労者世帯,001,平均,00129,被服関連サービス,00415,3大都市圏平均,1984000000,1984年
6500,2,勤労者世帯,001,平均,00130,保健医療,00000,全国,1984000000,1984年
6963,2,勤労者世帯,001,平均,00130,保健医療,00415,3大都市圏平均,1984000000,1984年
1340,2,勤労者世帯,001,平均,00131,医薬品,00000,全国,1984000000,1984年
1345,2,勤労者世帯,001,平均,00131,医薬品,00415,3大都市圏平均,1984000000,1984年
1245,2,勤労者世帯,001,平均,00132,保健医療用品・器具,00000,全国,1984000000,1984年
1326,2,勤労者世帯,001,平均,00132,保健医療用品・器具,00415,3大都市圏平均,1984000000,1984年
3916,2,勤労者世帯,001,平均,00133,保健医療サービス,00000,全国,1984000000,1984年
4292,2,勤労者世帯,001,平均,00133,保健医療サービス,00415,3大都市圏平均,1984000000,1984年
28503,2,勤労者世帯,001,平均,00134,交通通信,00000,全国,1984000000,1984年
28253,2,勤労者世帯,001,平均,00134,交通通信,00415,3大都市圏平均,1984000000,1984年
5992,2,勤労者世帯,001,平均,00135,交通,00000,全国,1984000000,1984年
7521,2,勤労者世帯,001,平均,00135,交通,00415,3大都市圏平均,1984000000,1984年
16526,2,勤労者世帯,001,平均,00136,自動車等関係費,00000,全国,1984000000,1984年
14405,2,勤労者世帯,001,平均,00136,自動車等関係費,00415,3大都市圏平均,1984000000,1984年
4887,2,勤労者世帯,001,平均,00137,自動車,00000,全国,1984000000,1984年
4396,2,勤労者世帯,001,平均,00137,自動車,00415,3大都市圏平均,1984000000,1984年
234,2,勤労者世帯,001,平均,00138,自転車,00000,全国,1984000000,1984年
276,2,勤労者世帯,001,平均,00138,自転車,00415,3大都市圏平均,1984000000,1984年
11406,2,勤労者世帯,001,平均,00139,自動車等維持,00000,全国,1984000000,1984年
9733,2,勤労者世帯,001,平均,00139,自動車等維持,00415,3大都市圏平均,1984000000,1984年
5984,2,勤労者世帯,001,平均,00140,通信,00000,全国,1984000000,1984年
6328,2,勤労者世帯,001,平均,00140,通信,00415,3大都市圏平均,1984000000,1984年
11420,2,勤労者世帯,001,平均,00141,教育,00000,全国,1984000000,1984年
14146,2,勤労者世帯,001,平均,00141,教育,00415,3大都市圏平均,1984000000,1984年
9007,2,勤労者世帯,001,平均,00142,授業料等,00000,全国,1984000000,1984年
10949,2,勤労者世帯,001,平均,00142,授業料等,00415,3大都市圏平均,1984000000,1984年
438,2,勤労者世帯,001,平均,00143,教科書・学習参考書,00000,全国,1984000000,1984年
478,2,勤労者世帯,001,平均,00143,教科書・学習参考書,00415,3大都市圏平均,1984000000,1984年
1975,2,勤労者世帯,001,平均,00144,補習教育,00000,全国,1984000000,1984年
2719,2,勤労者世帯,001,平均,00144,補習教育,00415,3大都市圏平均,1984000000,1984年
23213,2,勤労者世帯,001,平均,00145,教養娯楽,00000,全国,1984000000,1984年
24963,2,勤労者世帯,001,平均,00145,教養娯楽,00415,3大都市圏平均,1984000000,1984年
2401,2,勤労者世帯,001,平均,00146,教養娯楽用耐久財,00000,全国,1984000000,1984年
2421,2,勤労者世帯,001,平均,00146,教養娯楽用耐久財,00415,3大都市圏平均,1984000000,1984年
4603,2,勤労者世帯,001,平均,00147,教養娯楽用品,00000,全国,1984000000,1984年
4869,2,勤労者世帯,001,平均,00147,教養娯楽用品,00415,3大都市圏平均,1984000000,1984年
4110,2,勤労者世帯,001,平均,00148,書籍・他の印刷物,00000,全国,1984000000,1984年
4410,2,勤労者世帯,001,平均,00148,書籍・他の印刷物,00415,3大都市圏平均,1984000000,1984年
12100,2,勤労者世帯,001,平均,00149,教養娯楽サービス,00000,全国,1984000000,1984年
13264,2,勤労者世帯,001,平均,00149,教養娯楽サービス,00415,3大都市圏平均,1984000000,1984年
419,2,勤労者世帯,001,平均,00150,宿泊料,00000,全国,1984000000,1984年
453,2,勤労者世帯,001,平均,00150,宿泊料,00415,3大都市圏平均,1984000000,1984年
2994,2,勤労者世帯,001,平均,00151,パック旅行,00000,全国,1984000000,1984年
2866,2,勤労者世帯,001,平均,00151,パック旅行,00415,3大都市圏平均,1984000000,1984年
4323,2,勤労者世帯,001,平均,00152,月謝類,00000,全国,1984000000,1984年
