value,cat01,cat01_label,area,area_label,time,time_label
3.1,10900,前年（度、同期、同月）比（％）,00051,近畿,29010000,2017年度
2.6,10900,前年（度、同期、同月）比（％）,00051,近畿,30000103,2018年 1 ～ 3 月
1.1,10900,前年（度、同期、同月）比（％）,00051,近畿,30000406,2018年 4 ～ 6 月
-0.3,10900,前年（度、同期、同月）比（％）,00051,近畿,30000709,2018年 7 ～ 9 月
0.9,10900,前年（度、同期、同月）比（％）,00051,近畿,30001012,2018年10～12月
3,10900,前年（度、同期、同月）比（％）,00051,近畿,30000101,2018年1月
2.8,10900,前年（度、同期、同月）比（％）,00051,近畿,30000202,2018年2月
1.9,10900,前年（度、同期、同月）比（％）,00051,近畿,30000303,2018年3月
2.5,10900,前年（度、同期、同月）比（％）,00051,近畿,30000404,2018年4月
-0.5,10900,前年（度、同期、同月）比（％）,00051,近畿,30000505,2018年5月
1.5,10900,前年（度、同期、同月）比（％）,00051,近畿,30000606,2018年6月
0.9,10900,前年（度、同期、同月）比（％）,00051,近畿,30000707,2018年7月
-0.8,10900,前年（度、同期、同月）比（％）,00051,近畿,30000808,2018年8月
-1.2,10900,前年（度、同期、同月）比（％）,00051,近畿,30000909,2018年9月
1.4,10900,前年（度、同期、同月）比（％）,00051,近畿,30001010,2018年10月
0.4,10900,前年（度、同期、同月）比（％）,00051,近畿,30001111,2018年11月
0.9,10900,前年（度、同期、同月）比（％）,00051,近畿,30001212,2018年12月
0.8,10900,前年（度、同期、同月）比（％）,00053,中国,28000000,2016年
9.6,10900,前年（度、同期、同月）比（％）,00053,中国,29000000,2017年
2.8,10900,前年（度、同期、同月）比（％）,00053,中国,30000000,2018年
6.6,10900,前年（度、同期、同月）比（％）,00053,中国,28010000,2016年度
6.9,10900,前年（度、同期、同月）比（％）,00053,中国,29010000,2017年度
3.5,10900,前年（度、同期、同月）比（％）,00053,中国,30000103,2018年 1 ～ 3 月
1.8,10900,前年（度、同期、同月）比（％）,00053,中国,30000406,2018年 4 ～ 6 月
3.9,10900,前年（度、同期、同月）比（％）,00053,中国,30000709,2018年 7 ～ 9 月
2.1,10900,前年（度、同期、同月）比（％）,00053,中国,30001012,2018年10～12月
5.1,10900,前年（度、同期、同月）比（％）,00053,中国,30000101,2018年1月
4.7,10900,前年（度、同期、同月）比（％）,00053,中国,30000202,2018年2月
1.2,10900,前年（度、同期、同月）比（％）,00053,中国,30000303,2018年3月
0.1,10900,前年（度、同期、同月）比（％）,00053,中国,30000404,2018年4月
2.3,10900,前年（度、同期、同月）比（％）,00053,中国,30000505,2018年5月
3.1,10900,前年（度、同期、同月）比（％）,00053,中国,30000606,2018年6月
1.8,10900,前年（度、同期、同月）比（％）,00053,中国,30000707,2018年7月
5.5,10900,前年（度、同期、同月）比（％）,00053,中国,30000808,2018年8月
4.4,10900,前年（度、同期、同月）比（％）,00053,中国,30000909,2018年9月
3.7,10900,前年（度、同期、同月）比（％）,00053,中国,30001010,2018年10月
0.3,10900,前年（度、同期、同月）比（％）,00053,中国,30001111,2018年11月
2.2,10900,前年（度、同期、同月）比（％）,00053,中国,30001212,2018年12月
1.4,10900,前年（度、同期、同月）比（％）,00054,四国,28000000,2016年
2.8,10900,前年（度、同期、同月）比（％）,00054,四国,29000000,2017年
-1.1,10900,前年（度、同期、同月）比（％）,00054,四国,30000000,2018年
1.8,10900,前年（度、同期、同月）比（％）,00054,四国,28010000,2016年度
