value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label
287,002,事業所数（事業内容等不詳を含む）,001,総数,02367,田舎館村,2009000000,2009年
1830,002,事業所数（事業内容等不詳を含む）,001,総数,02380,北津軽郡,2009000000,2009年
695,002,事業所数（事業内容等不詳を含む）,001,総数,02381,板柳町,2009000000,2009年
527,002,事業所数（事業内容等不詳を含む）,001,総数,02384,鶴田町,2009000000,2009年
608,002,事業所数（事業内容等不詳を含む）,001,総数,02387,中泊町,2009000000,2009年
4953,002,事業所数（事業内容等不詳を含む）,001,総数,02400,上北郡,2009000000,2009年
916,002,事業所数（事業内容等不詳を含む）,001,総数,02401,野辺地町,2009000000,2009年
816,002,事業所数（事業内容等不詳を含む）,001,総数,02402,七戸町,2009000000,2009年
420,002,事業所数（事業内容等不詳を含む）,001,総数,02405,六戸町,2009000000,2009年
290,002,事業所数（事業内容等不詳を含む）,001,総数,02406,横浜町,2009000000,2009年
882,002,事業所数（事業内容等不詳を含む）,001,総数,02408,東北町,2009000000,2009年
628,002,事業所数（事業内容等不詳を含む）,001,総数,02411,六ヶ所村,2009000000,2009年
1001,002,事業所数（事業内容等不詳を含む）,001,総数,02412,おいらせ町,2009000000,2009年
1029,002,事業所数（事業内容等不詳を含む）,001,総数,02420,下北郡,2009000000,2009年
409,002,事業所数（事業内容等不詳を含む）,001,総数,02423,大間町,2009000000,2009年
330,002,事業所数（事業内容等不詳を含む）,001,総数,02424,東通村,2009000000,2009年
126,002,事業所数（事業内容等不詳を含む）,001,総数,02425,風間浦村,2009000000,2009年
164,002,事業所数（事業内容等不詳を含む）,001,総数,02426,佐井村,2009000000,2009年
3044,002,事業所数（事業内容等不詳を含む）,001,総数,02440,三戸郡,2009000000,2009年
542,002,事業所数（事業内容等不詳を含む）,001,総数,02441,三戸町,2009000000,2009年
752,002,事業所数（事業内容等不詳を含む）,001,総数,02442,五戸町,2009000000,2009年
314,002,事業所数（事業内容等不詳を含む）,001,総数,02443,田子町,2009000000,2009年
822,002,事業所数（事業内容等不詳を含む）,001,総数,02445,南部町,2009000000,2009年
472,002,事業所数（事業内容等不詳を含む）,001,総数,02446,階上町,2009000000,2009年
142,002,事業所数（事業内容等不詳を含む）,001,総数,02450,新郷村,2009000000,2009年
68946,002,事業所数（事業内容等不詳を含む）,001,総数,03000,岩手県,2009000000,2009年
16488,002,事業所数（事業内容等不詳を含む）,001,総数,03201,盛岡市,2009000000,2009年
3112,002,事業所数（事業内容等不詳を含む）,001,総数,03202,宮古市,2009000000,2009年
2765,002,事業所数（事業内容等不詳を含む）,001,総数,03203,大船渡市,2009000000,2009年
4944,002,事業所数（事業内容等不詳を含む）,001,総数,03205,花巻市,2009000000,2009年
4896,002,事業所数（事業内容等不詳を含む）,001,総数,03206,北上市,2009000000,2009年
2223,002,事業所数（事業内容等不詳を含む）,001,総数,03207,久慈市,2009000000,2009年
1449,002,事業所数（事業内容等不詳を含む）,001,総数,03208,遠野市,2009000000,2009年
6141,002,事業所数（事業内容等不詳を含む）,001,総数,03209,一関市,2009000000,2009年
1289,002,事業所数（事業内容等不詳を含む）,001,総数,03210,陸前高田市,2009000000,2009年
2433,002,事業所数（事業内容等不詳を含む）,001,総数,03211,釜石市,2009000000,2009年
1592,002,事業所数（事業内容等不詳を含む）,001,総数,03213,二戸市,2009000000,2009年
1463,002,事業所数（事業内容等不詳を含む）,001,総数,03214,八幡平市,2009000000,2009年
6550,002,事業所数（事業内容等不詳を含む）,001,総数,03215,奥州市,2009000000,2009年
3423,002,事業所数（事業内容等不詳を含む）,001,総数,03300,岩手郡,2009000000,2009年
842,002,事業所数（事業内容等不詳を含む）,001,総数,03301,雫石町,2009000000,2009年
346,002,事業所数（事業内容等不詳を含む）,001,総数,03302,葛巻町,2009000000,2009年
