value,tab,tab_label,cat01,cat01_label,time,time_label
1413,831,事業所数（事業内容等不詳を含む）,01692,中標津町,2012000000,2012年
302,831,事業所数（事業内容等不詳を含む）,01693,標津町,2012000000,2012年
393,831,事業所数（事業内容等不詳を含む）,01694,羅臼町,2012000000,2012年
61549,831,事業所数（事業内容等不詳を含む）,02000,青森県,2012000000,2012年
13775,831,事業所数（事業内容等不詳を含む）,02201,青森市,2012000000,2012年
8672,831,事業所数（事業内容等不詳を含む）,02202,弘前市,2012000000,2012年
11571,831,事業所数（事業内容等不詳を含む）,02203,八戸市,2012000000,2012年
1512,831,事業所数（事業内容等不詳を含む）,02204,黒石市,2012000000,2012年
3125,831,事業所数（事業内容等不詳を含む）,02205,五所川原市,2012000000,2012年
3402,831,事業所数（事業内容等不詳を含む）,02206,十和田市,2012000000,2012年
1897,831,事業所数（事業内容等不詳を含む）,02207,三沢市,2012000000,2012年
2817,831,事業所数（事業内容等不詳を含む）,02208,むつ市,2012000000,2012年
1232,831,事業所数（事業内容等不詳を含む）,02209,つがる市,2012000000,2012年
1190,831,事業所数（事業内容等不詳を含む）,02210,平川市,2012000000,2012年
1036,831,事業所数（事業内容等不詳を含む）,02300,東津軽郡,2012000000,2012年
444,831,事業所数（事業内容等不詳を含む）,02301,平内町,2012000000,2012年
169,831,事業所数（事業内容等不詳を含む）,02303,今別町,2012000000,2012年
95,831,事業所数（事業内容等不詳を含む）,02304,蓬田村,2012000000,2012年
328,831,事業所数（事業内容等不詳を含む）,02307,外ヶ浜町,2012000000,2012年
1007,831,事業所数（事業内容等不詳を含む）,02320,西津軽郡,2012000000,2012年
541,831,事業所数（事業内容等不詳を含む）,02321,鰺ヶ沢町,2012000000,2012年
466,831,事業所数（事業内容等不詳を含む）,02323,深浦町,2012000000,2012年
79,831,事業所数（事業内容等不詳を含む）,02340,中津軽郡,2012000000,2012年
79,831,事業所数（事業内容等不詳を含む）,02343,西目屋村,2012000000,2012年
1193,831,事業所数（事業内容等不詳を含む）,02360,南津軽郡,2012000000,2012年
545,831,事業所数（事業内容等不詳を含む）,02361,藤崎町,2012000000,2012年
409,831,事業所数（事業内容等不詳を含む）,02362,大鰐町,2012000000,2012年
239,831,事業所数（事業内容等不詳を含む）,02367,田舎館村,2012000000,2012年
1546,831,事業所数（事業内容等不詳を含む）,02380,北津軽郡,2012000000,2012年
610,831,事業所数（事業内容等不詳を含む）,02381,板柳町,2012000000,2012年
437,831,事業所数（事業内容等不詳を含む）,02384,鶴田町,2012000000,2012年
499,831,事業所数（事業内容等不詳を含む）,02387,中泊町,2012000000,2012年
4230,831,事業所数（事業内容等不詳を含む）,02400,上北郡,2012000000,2012年
765,831,事業所数（事業内容等不詳を含む）,02401,野辺地町,2012000000,2012年
678,831,事業所数（事業内容等不詳を含む）,02402,七戸町,2012000000,2012年
361,831,事業所数（事業内容等不詳を含む）,02405,六戸町,2012000000,2012年
222,831,事業所数（事業内容等不詳を含む）,02406,横浜町,2012000000,2012年
751,831,事業所数（事業内容等不詳を含む）,02408,東北町,2012000000,2012年
552,831,事業所数（事業内容等不詳を含む）,02411,六ヶ所村,2012000000,2012年
901,831,事業所数（事業内容等不詳を含む）,02412,おいらせ町,2012000000,2012年
816,831,事業所数（事業内容等不詳を含む）,02420,下北郡,2012000000,2012年
328,831,事業所数（事業内容等不詳を含む）,02423,大間町,2012000000,2012年
262,831,事業所数（事業内容等不詳を含む）,02424,東通村,2012000000,2012年
99,831,事業所数（事業内容等不詳を含む）,02425,風間浦村,2012000000,2012年
127,831,事業所数（事業内容等不詳を含む）,02426,佐井村,2012000000,2012年
2449,831,事業所数（事業内容等不詳を含む）,02440,三戸郡,2012000000,2012年
426,831,事業所数（事業内容等不詳を含む）,02441,三戸町,2012000000,2012年
615,831,事業所数（事業内容等不詳を含む）,02442,五戸町,2012000000,2012年
269,831,事業所数（事業内容等不詳を含む）,02443,田子町,2012000000,2012年
637,831,事業所数（事業内容等不詳を含む）,02445,南部町,2012000000,2012年
397,831,事業所数（事業内容等不詳を含む）,02446,階上町,2012000000,2012年
105,831,事業所数（事業内容等不詳を含む）,02450,新郷村,2012000000,2012年
59537,831,事業所数（事業内容等不詳を含む）,03000,岩手県,2012000000,2012年
