value,cat01,cat01_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
452220,100,売上（収入）金額,130,1千万円超～3千万円,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
319176,100,売上（収入）金額,130,1千万円超～3千万円,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
297136,100,売上（収入）金額,130,1千万円超～3千万円,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
384032,100,売上（収入）金額,130,1千万円超～3千万円,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
3187928,100,売上（収入）金額,140,3千万円超～5千万円,100,合計,2016100000,2016年度,百万円
3626690,100,売上（収入）金額,140,3千万円超～5千万円,100,合計,2015100000,2015年度,百万円
3354701,100,売上（収入）金額,140,3千万円超～5千万円,100,合計,2014100000,2014年度,百万円
467147,100,売上（収入）金額,140,3千万円超～5千万円,110,建設業,2016100000,2016年度,百万円
452615,100,売上（収入）金額,140,3千万円超～5千万円,110,建設業,2015100000,2015年度,百万円
484474,100,売上（収入）金額,140,3千万円超～5千万円,110,建設業,2014100000,2014年度,百万円
281519,100,売上（収入）金額,140,3千万円超～5千万円,120,製造業,2016100000,2016年度,百万円
256932,100,売上（収入）金額,140,3千万円超～5千万円,120,製造業,2015100000,2015年度,百万円
290606,100,売上（収入）金額,140,3千万円超～5千万円,120,製造業,2014100000,2014年度,百万円
12046,100,売上（収入）金額,140,3千万円超～5千万円,130,情報通信業,2016100000,2016年度,百万円
2795,100,売上（収入）金額,140,3千万円超～5千万円,130,情報通信業,2015100000,2015年度,百万円
1152,100,売上（収入）金額,140,3千万円超～5千万円,130,情報通信業,2014100000,2014年度,百万円
10031,100,売上（収入）金額,140,3千万円超～5千万円,140,運輸業，郵便業,2016100000,2016年度,百万円
9937,100,売上（収入）金額,140,3千万円超～5千万円,140,運輸業，郵便業,2015100000,2015年度,百万円
9659,100,売上（収入）金額,140,3千万円超～5千万円,140,運輸業，郵便業,2014100000,2014年度,百万円
198016,100,売上（収入）金額,140,3千万円超～5千万円,150,卸売業,2016100000,2016年度,百万円
268279,100,売上（収入）金額,140,3千万円超～5千万円,150,卸売業,2015100000,2015年度,百万円
255845,100,売上（収入）金額,140,3千万円超～5千万円,150,卸売業,2014100000,2014年度,百万円
613931,100,売上（収入）金額,140,3千万円超～5千万円,160,小売業,2016100000,2016年度,百万円
1079892,100,売上（収入）金額,140,3千万円超～5千万円,160,小売業,2015100000,2015年度,百万円
