value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
146,000,男女計,001,　有業者,214,70～74歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
192,000,男女計,001,　有業者,214,70～74歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
1,000,男女計,001,　有業者,214,70～74歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
95,000,男女計,001,　有業者,214,70～74歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
60502,000,男女計,001,　有業者,515,15歳以上,000,総数,00000,全国,1987000000,1987年,千人
55036,000,男女計,001,　有業者,515,15歳以上,001,　一般世帯,00000,全国,1987000000,1987年,千人
26322,000,男女計,001,　有業者,515,15歳以上,002,　　世帯主,00000,全国,1987000000,1987年,千人
13688,000,男女計,001,　有業者,515,15歳以上,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
14922,000,男女計,001,　有業者,515,15歳以上,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
104,000,男女計,001,　有業者,515,15歳以上,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
5466,000,男女計,001,　有業者,515,15歳以上,006,　単身世帯,00000,全国,1987000000,1987年,千人
637,000,男女計,001,　有業者,575,75歳以上,000,総数,00000,全国,1987000000,1987年,千人
571,000,男女計,001,　有業者,575,75歳以上,001,　一般世帯,00000,全国,1987000000,1987年,千人
352,000,男女計,001,　有業者,575,75歳以上,002,　　世帯主,00000,全国,1987000000,1987年,千人
43,000,男女計,001,　有業者,575,75歳以上,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
175,000,男女計,001,　有業者,575,75歳以上,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
1,000,男女計,001,　有業者,575,75歳以上,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
66,000,男女計,001,　有業者,575,75歳以上,006,　単身世帯,00000,全国,1987000000,1987年,千人
1265,000,男女計,002,　　仕事が主な者,203,15～19歳,000,総数,00000,全国,1987000000,1987年,千人
1024,000,男女計,002,　　仕事が主な者,203,15～19歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
9,000,男女計,002,　　仕事が主な者,203,15～19歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
3,000,男女計,002,　　仕事が主な者,203,15～19歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
1000,000,男女計,002,　　仕事が主な者,203,15～19歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
13,000,男女計,002,　　仕事が主な者,203,15～19歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
240,000,男女計,002,　　仕事が主な者,203,15～19歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
5435,000,男女計,002,　　仕事が主な者,204,20～24歳,000,総数,00000,全国,1987000000,1987年,千人
4353,000,男女計,002,　　仕事が主な者,204,20～24歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
277,000,男女計,002,　　仕事が主な者,204,20～24歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
93,000,男女計,002,　　仕事が主な者,204,20～24歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
3960,000,男女計,002,　　仕事が主な者,204,20～24歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
23,000,男女計,002,　　仕事が主な者,204,20～24歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
1082,000,男女計,002,　　仕事が主な者,204,20～24歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
5384,000,男女計,002,　　仕事が主な者,205,25～29歳,000,総数,00000,全国,1987000000,1987年,千人
4467,000,男女計,002,　　仕事が主な者,205,25～29歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
1235,000,男女計,002,　　仕事が主な者,205,25～29歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
350,000,男女計,002,　　仕事が主な者,205,25～29歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
2871,000,男女計,002,　　仕事が主な者,205,25～29歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
10,000,男女計,002,　　仕事が主な者,205,25～29歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
917,000,男女計,002,　　仕事が主な者,205,25～29歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
5256,000,男女計,002,　　仕事が主な者,206,30～34歳,000,総数,00000,全国,1987000000,1987年,千人
4755,000,男女計,002,　　仕事が主な者,206,30～34歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
2378,000,男女計,002,　　仕事が主な者,206,30～34歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
553,000,男女計,002,　　仕事が主な者,206,30～34歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
1820,000,男女計,002,　　仕事が主な者,206,30～34歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
5,000,男女計,002,　　仕事が主な者,206,30～34歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
500,000,男女計,002,　　仕事が主な者,206,30～34歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
7115,000,男女計,002,　　仕事が主な者,207,35～39歳,000,総数,00000,全国,1987000000,1987年,千人
6630,000,男女計,002,　　仕事が主な者,207,35～39歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
4015,000,男女計,002,　　仕事が主な者,207,35～39歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
1060,000,男女計,002,　　仕事が主な者,207,35～39歳,003,　　世帯主の配偶者,00000,全国,1987000000,1987年,千人
1547,000,男女計,002,　　仕事が主な者,207,35～39歳,004,　　その他の親族世帯員,00000,全国,1987000000,1987年,千人
8,000,男女計,002,　　仕事が主な者,207,35～39歳,005,　　非親族世帯員,00000,全国,1987000000,1987年,千人
485,000,男女計,002,　　仕事が主な者,207,35～39歳,006,　単身世帯,00000,全国,1987000000,1987年,千人
6109,000,男女計,002,　　仕事が主な者,208,40～44歳,000,総数,00000,全国,1987000000,1987年,千人
5751,000,男女計,002,　　仕事が主な者,208,40～44歳,001,　一般世帯,00000,全国,1987000000,1987年,千人
3856,000,男女計,002,　　仕事が主な者,208,40～44歳,002,　　世帯主,00000,全国,1987000000,1987年,千人
