value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
31,0000000800,学校数・学級数・児童生徒数・教職員数,07600,中等教育学校-国立,190,教員数（本務者）-女,00000,全国,2006000000,2006年
42,0000000800,学校数・学級数・児童生徒数・教職員数,07600,中等教育学校-国立,195,教員数（兼務者）,00000,全国,2006000000,2006年
16,0000000800,学校数・学級数・児童生徒数・教職員数,07600,中等教育学校-国立,200,職員数（本務者）,00000,全国,2006000000,2006年
15,0000000800,学校数・学級数・児童生徒数・教職員数,07700,中等教育学校-公立,010,学校数-計,00000,全国,2006000000,2006年
15,0000000800,学校数・学級数・児童生徒数・教職員数,07700,中等教育学校-公立,020,学校数-本校,00000,全国,2006000000,2006年
0,0000000800,学校数・学級数・児童生徒数・教職員数,07700,中等教育学校-公立,030,学校数-分校,00000,全国,2006000000,2006年
157,0000000800,学校数・学級数・児童生徒数・教職員数,07700,中等教育学校-公立,040,学級数,00000,全国,2006000000,2006年
5624,0000000800,学校数・学級数・児童生徒数・教職員数,07700,中等教育学校-公立,080,児童生徒数-計,00000,全国,2006000000,2006年
2323,0000000800,学校数・学級数・児童生徒数・教職員数,07700,中等教育学校-公立,090,児童生徒数-男,00000,全国,2006000000,2006年
3301,0000000800,学校数・学級数・児童生徒数・教職員数,07700,中等教育学校-公立,100,児童生徒数-女,00000,全国,2006000000,2006年
402,0000000800,学校数・学級数・児童生徒数・教職員数,07700,中等教育学校-公立,170,教員数（本務者）-計,00000,全国,2006000000,2006年
273,0000000800,学校数・学級数・児童生徒数・教職員数,07700,中等教育学校-公立,180,教員数（本務者）-男,00000,全国,2006000000,2006年
129,0000000800,学校数・学級数・児童生徒数・教職員数,07700,中等教育学校-公立,190,教員数（本務者）-女,00000,全国,2006000000,2006年
251,0000000800,学校数・学級数・児童生徒数・教職員数,07700,中等教育学校-公立,195,教員数（兼務者）,00000,全国,2006000000,2006年
54,0000000800,学校数・学級数・児童生徒数・教職員数,07700,中等教育学校-公立,200,職員数（本務者）,00000,全国,2006000000,2006年
10,0000000800,学校数・学級数・児童生徒数・教職員数,07800,中等教育学校-私立,010,学校数-計,00000,全国,2006000000,2006年
10,0000000800,学校数・学級数・児童生徒数・教職員数,07800,中等教育学校-私立,020,学校数-本校,00000,全国,2006000000,2006年
0,0000000800,学校数・学級数・児童生徒数・教職員数,07800,中等教育学校-私立,030,学校数-分校,00000,全国,2006000000,2006年
77,0000000800,学校数・学級数・児童生徒数・教職員数,07800,中等教育学校-私立,040,学級数,00000,全国,2006000000,2006年
4587,0000000800,学校数・学級数・児童生徒数・教職員数,07800,中等教育学校-私立,080,児童生徒数-計,00000,全国,2006000000,2006年
3040,0000000800,学校数・学級数・児童生徒数・教職員数,07800,中等教育学校-私立,090,児童生徒数-男,00000,全国,2006000000,2006年
1547,0000000800,学校数・学級数・児童生徒数・教職員数,07800,中等教育学校-私立,100,児童生徒数-女,00000,全国,2006000000,2006年
329,0000000800,学校数・学級数・児童生徒数・教職員数,07800,中等教育学校-私立,170,教員数（本務者）-計,00000,全国,2006000000,2006年
228,0000000800,学校数・学級数・児童生徒数・教職員数,07800,中等教育学校-私立,180,教員数（本務者）-男,00000,全国,2006000000,2006年
