value,cat01,cat01_label,area,area_label
379,0000004200,公立【市（区）立】（計）,33000,岡山県
528,0000004200,公立【市（区）立】（計）,34000,広島県
310,0000004200,公立【市（区）立】（計）,35000,山口県
182,0000004200,公立【市（区）立】（計）,36000,徳島県
163,0000004200,公立【市（区）立】（計）,37000,香川県
289,0000004200,公立【市（区）立】（計）,38000,愛媛県
170,0000004200,公立【市（区）立】（計）,39000,高知県
600,0000004200,公立【市（区）立】（計）,40000,福岡県
155,0000004200,公立【市（区）立】（計）,41000,佐賀県
358,0000004200,公立【市（区）立】（計）,42000,長崎県
308,0000004200,公立【市（区）立】（計）,43000,熊本県
334,0000004200,公立【市（区）立】（計）,44000,大分県
186,0000004200,公立【市（区）立】（計）,45000,宮崎県
376,0000004200,公立【市（区）立】（計）,46000,鹿児島県
176,0000004200,公立【市（区）立】（計）,47000,沖縄県
17778,0000004210,公立【市（区）立】（本校）,00000,全国
721,0000004210,公立【市（区）立】（本校）,01000,北海道
243,0000004210,公立【市（区）立】（本校）,02000,青森県
282,0000004210,公立【市（区）立】（本校）,03000,岩手県
327,0000004210,公立【市（区）立】（本校）,04000,宮城県
243,0000004210,公立【市（区）立】（本校）,05000,秋田県
212,0000004210,公立【市（区）立】（本校）,06000,山形県
350,0000004210,公立【市（区）立】（本校）,07000,福島県
508,0000004210,公立【市（区）立】（本校）,08000,茨城県
313,0000004210,公立【市（区）立】（本校）,09000,栃木県
244,0000004210,公立【市（区）立】（本校）,10000,群馬県
698,0000004210,公立【市（区）立】（本校）,11000,埼玉県
774,0000004210,公立【市（区）立】（本校）,12000,千葉県
1296,0000004210,公立【市（区）立】（本校）,13000,東京都
816,0000004210,公立【市（区）立】（本校）,14000,神奈川県
515,0000004210,公立【市（区）立】（本校）,15000,新潟県
181,0000004210,公立【市（区）立】（本校）,16000,富山県
177,0000004210,公立【市（区）立】（本校）,17000,石川県
160,0000004210,公立【市（区）立】（本校）,18000,福井県
158,0000004210,公立【市（区）立】（本校）,19000,山梨県
266,0000004210,公立【市（区）立】（本校）,20000,長野県
309,0000004210,公立【市（区）立】（本校）,21000,岐阜県
471,0000004210,公立【市（区）立】（本校）,22000,静岡県
863,0000004210,公立【市（区）立】（本校）,23000,愛知県
348,0000004210,公立【市（区）立】（本校）,24000,三重県
197,0000004210,公立【市（区）立】（本校）,25000,滋賀県
385,0000004210,公立【市（区）立】（本校）,26000,京都府
986,0000004210,公立【市（区）立】（本校）,27000,大阪府
734,0000004210,公立【市（区）立】（本校）,28000,兵庫県
160,0000004210,公立【市（区）立】（本校）,29000,奈良県
159,0000004210,公立【市（区）立】（本校）,30000,和歌山県
92,0000004210,公立【市（区）立】（本校）,31000,鳥取県
188,0000004210,公立【市（区）立】（本校）,32000,島根県
371,0000004210,公立【市（区）立】（本校）,33000,岡山県
526,0000004210,公立【市（区）立】（本校）,34000,広島県
305,0000004210,公立【市（区）立】（本校）,35000,山口県
179,0000004210,公立【市（区）立】（本校）,36000,徳島県
158,0000004210,公立【市（区）立】（本校）,37000,香川県
286,0000004210,公立【市（区）立】（本校）,38000,愛媛県
166,0000004210,公立【市（区）立】（本校）,39000,高知県
594,0000004210,公立【市（区）立】（本校）,40000,福岡県
139,0000004210,公立【市（区）立】（本校）,41000,佐賀県
331,0000004210,公立【市（区）立】（本校）,42000,長崎県
294,0000004210,公立【市（区）立】（本校）,43000,熊本県
323,0000004210,公立【市（区）立】（本校）,44000,大分県
180,0000004210,公立【市（区）立】（本校）,45000,宮崎県
375,0000004210,公立【市（区）立】（本校）,46000,鹿児島県
175,0000004210,公立【市（区）立】（本校）,47000,沖縄県
241,0000004220,公立【市（区）立】（分校）,00000,全国
2,0000004220,公立【市（区）立】（分校）,01000,北海道
1,0000004220,公立【市（区）立】（分校）,02000,青森県
1,0000004220,公立【市（区）立】（分校）,03000,岩手県
11,0000004220,公立【市（区）立】（分校）,04000,宮城県
2,0000004220,公立【市（区）立】（分校）,05000,秋田県
9,0000004220,公立【市（区）立】（分校）,06000,山形県
11,0000004220,公立【市（区）立】（分校）,07000,福島県
0,0000004220,公立【市（区）立】（分校）,08000,茨城県
0,0000004220,公立【市（区）立】（分校）,09000,栃木県
4,0000004220,公立【市（区）立】（分校）,10000,群馬県
1,0000004220,公立【市（区）立】（分校）,11000,埼玉県
6,0000004220,公立【市（区）立】（分校）,12000,千葉県
1,0000004220,公立【市（区）立】（分校）,13000,東京都
0,0000004220,公立【市（区）立】（分校）,14000,神奈川県
3,0000004220,公立【市（区）立】（分校）,15000,新潟県
2,0000004220,公立【市（区）立】（分校）,16000,富山県
4,0000004220,公立【市（区）立】（分校）,17000,石川県
