value,tab,tab_label,area,area_label,time,time_label,unit
65639,300,受注高,00043,東北地方,2020001111,2020年11月,百万円
51731,300,受注高,00043,東北地方,2020001010,2020年10月,百万円
89700,300,受注高,00043,東北地方,2020000909,2020年9月,百万円
69337,300,受注高,00043,東北地方,2020000808,2020年8月,百万円
121941,300,受注高,00043,東北地方,2020000707,2020年7月,百万円
123452,300,受注高,00043,東北地方,2020000606,2020年6月,百万円
64483,300,受注高,00043,東北地方,2020000505,2020年5月,百万円
41831,300,受注高,00043,東北地方,2020000404,2020年4月,百万円
208598,300,受注高,00043,東北地方,2020000303,2020年3月,百万円
106703,300,受注高,00043,東北地方,2020000202,2020年2月,百万円
50051,300,受注高,00043,東北地方,2020000101,2020年1月,百万円
88568,300,受注高,00043,東北地方,2019001212,2019年12月,百万円
44575,300,受注高,00043,東北地方,2019001111,2019年11月,百万円
43698,300,受注高,00043,東北地方,2019001010,2019年10月,百万円
62061,300,受注高,00043,東北地方,2019000909,2019年9月,百万円
59782,300,受注高,00043,東北地方,2019000808,2019年8月,百万円
92787,300,受注高,00043,東北地方,2019000707,2019年7月,百万円
124361,300,受注高,00043,東北地方,2019000606,2019年6月,百万円
59916,300,受注高,00043,東北地方,2019000505,2019年5月,百万円
59719,300,受注高,00043,東北地方,2019000404,2019年4月,百万円
221830,300,受注高,00043,東北地方,2019000303,2019年3月,百万円
89236,300,受注高,00043,東北地方,2019000202,2019年2月,百万円
117800,300,受注高,00043,東北地方,2019000101,2019年1月,百万円
91249,300,受注高,00043,東北地方,2018001212,2018年12月,百万円
72430,300,受注高,00043,東北地方,2018001111,2018年11月,百万円
60864,300,受注高,00043,東北地方,2018001010,2018年10月,百万円
134074,300,受注高,00043,東北地方,2018000909,2018年9月,百万円
81088,300,受注高,00043,東北地方,2018000808,2018年8月,百万円
43773,300,受注高,00043,東北地方,2018000707,2018年7月,百万円
107531,300,受注高,00043,東北地方,2018000606,2018年6月,百万円
110507,300,受注高,00043,東北地方,2018000505,2018年5月,百万円
215404,300,受注高,00043,東北地方,2018000404,2018年4月,百万円
203325,300,受注高,00043,東北地方,2018000303,2018年3月,百万円
134069,300,受注高,00043,東北地方,2018000202,2018年2月,百万円
91180,300,受注高,00043,東北地方,2018000101,2018年1月,百万円
128665,300,受注高,00043,東北地方,2017001212,2017年12月,百万円
79772,300,受注高,00043,東北地方,2017001111,2017年11月,百万円
86655,300,受注高,00043,東北地方,2017001010,2017年10月,百万円
89439,300,受注高,00043,東北地方,2017000909,2017年9月,百万円
62088,300,受注高,00043,東北地方,2017000808,2017年8月,百万円
86804,300,受注高,00043,東北地方,2017000707,2017年7月,百万円
173242,300,受注高,00043,東北地方,2017000606,2017年6月,百万円
200390,300,受注高,00043,東北地方,2017000505,2017年5月,百万円
116081,300,受注高,00043,東北地方,2017000404,2017年4月,百万円
232248,300,受注高,00043,東北地方,2017000303,2017年3月,百万円
94871,300,受注高,00043,東北地方,2017000202,2017年2月,百万円
71183,300,受注高,00043,東北地方,2017000101,2017年1月,百万円
116453,300,受注高,00043,東北地方,2016001212,2016年12月,百万円
89639,300,受注高,00043,東北地方,2016001111,2016年11月,百万円
75379,300,受注高,00043,東北地方,2016001010,2016年10月,百万円
179050,300,受注高,00043,東北地方,2016000909,2016年9月,百万円
108891,300,受注高,00043,東北地方,2016000808,2016年8月,百万円
72018,300,受注高,00043,東北地方,2016000707,2016年7月,百万円
150906,300,受注高,00043,東北地方,2016000606,2016年6月,百万円
62534,300,受注高,00043,東北地方,2016000505,2016年5月,百万円
112316,300,受注高,00043,東北地方,2016000404,2016年4月,百万円
199966,300,受注高,00043,東北地方,2016000303,2016年3月,百万円
66411,300,受注高,00043,東北地方,2016000202,2016年2月,百万円
84849,300,受注高,00043,東北地方,2016000101,2016年1月,百万円
94868,300,受注高,00043,東北地方,2015001212,2015年12月,百万円
72796,300,受注高,00043,東北地方,2015001111,2015年11月,百万円
108067,300,受注高,00043,東北地方,2015001010,2015年10月,百万円
126374,300,受注高,00043,東北地方,2015000909,2015年9月,百万円
86174,300,受注高,00043,東北地方,2015000808,2015年8月,百万円
105838,300,受注高,00043,東北地方,2015000707,2015年7月,百万円
205753,300,受注高,00043,東北地方,2015000606,2015年6月,百万円
100505,300,受注高,00043,東北地方,2015000505,2015年5月,百万円
94810,300,受注高,00043,東北地方,2015000404,2015年4月,百万円
204763,300,受注高,00043,東北地方,2015000303,2015年3月,百万円
96187,300,受注高,00043,東北地方,2015000202,2015年2月,百万円
88999,300,受注高,00043,東北地方,2015000101,2015年1月,百万円
124865,300,受注高,00043,東北地方,2014001212,2014年12月,百万円
136978,300,受注高,00043,東北地方,2014001111,2014年11月,百万円
115913,300,受注高,00043,東北地方,2014001010,2014年10月,百万円
159656,300,受注高,00043,東北地方,2014000909,2014年9月,百万円
84546,300,受注高,00043,東北地方,2014000808,2014年8月,百万円
141955,300,受注高,00043,東北地方,2014000707,2014年7月,百万円
175297,300,受注高,00043,東北地方,2014000606,2014年6月,百万円
160316,300,受注高,00043,東北地方,2014000505,2014年5月,百万円
61496,300,受注高,00043,東北地方,2014000404,2014年4月,百万円
278242,300,受注高,00043,東北地方,2014000303,2014年3月,百万円
134215,300,受注高,00043,東北地方,2014000202,2014年2月,百万円
82984,300,受注高,00043,東北地方,2014000101,2014年1月,百万円
165245,300,受注高,00043,東北地方,2013001212,2013年12月,百万円
