value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label
0.25,130,強度率,300,総合工事業,300,計,2003000000,2003年
0.57,130,強度率,300,総合工事業,300,計,2004000000,2004年
0.14,130,強度率,300,総合工事業,300,計,2005000000,2005年
0.37,130,強度率,300,総合工事業,300,計,2006000000,2006年
0.33,130,強度率,300,総合工事業,300,計,2007000000,2007年
0.41,130,強度率,300,総合工事業,300,計,2008000000,2008年
0.14,130,強度率,300,総合工事業,300,計,2009000000,2009年
0.61,130,強度率,300,総合工事業,300,計,2010000000,2010年
0.21,130,強度率,300,総合工事業,300,計,2011000000,2011年
0.05,130,強度率,300,総合工事業,300,計,2012000000,2012年
0.23,130,強度率,300,総合工事業,300,計,2013000000,2013年
0.07,130,強度率,300,総合工事業,300,計,2014000000,2014年
0.21,130,強度率,300,総合工事業,300,計,2015000000,2015年
0.11,130,強度率,300,総合工事業,300,計,2016000000,2016年
0.18,130,強度率,300,総合工事業,300,計,2017000000,2017年
0.3,130,強度率,300,総合工事業,300,計,2018000000,2018年
0.29,130,強度率,300,総合工事業,300,計,2019000000,2019年
0.24,130,強度率,300,総合工事業,300,計,2020000000,2020年
0.41,130,強度率,300,総合工事業,300,計,2021000000,2021年
0.22,130,強度率,300,総合工事業,300,計,2022000000,2022年
0.29,130,強度率,300,総合工事業,300,計,2023000000,2023年
0.57,130,強度率,300,総合工事業,300,計,2024000000,2024年
