value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,cat05,cat05_label,area,area_label,time,time_label,unit
336907,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,05000,秋田県,1980000000,1980年,人
337084,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,06000,山形県,1980000000,1980年,人
526248,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,07000,福島県,1980000000,1980年,人
654974,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,08000,茨城県,1980000000,1980年,人
459028,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,09000,栃木県,1980000000,1980年,人
476114,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,10000,群馬県,1980000000,1980年,人
1348324,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,11000,埼玉県,1980000000,1980年,人
1194582,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,12000,千葉県,1980000000,1980年,人
2684027,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,13000,東京都,1980000000,1980年,人
1707681,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,14000,神奈川県,1980000000,1980年,人
648800,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,15000,新潟県,1980000000,1980年,人
297578,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,16000,富山県,1980000000,1980年,人
288641,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,17000,石川県,1980000000,1980年,人
208986,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,18000,福井県,1980000000,1980年,人
203404,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,19000,山梨県,1980000000,1980年,人
551696,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,20000,長野県,1980000000,1980年,人
508889,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,21000,岐阜県,1980000000,1980年,人
881489,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,22000,静岡県,1980000000,1980年,人
1551439,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,23000,愛知県,1980000000,1980年,人
443081,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,24000,三重県,1980000000,1980年,人
275414,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,25000,滋賀県,1980000000,1980年,人
615395,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,26000,京都府,1980000000,1980年,人
2051872,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,27000,大阪府,1980000000,1980年,人
1292762,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,28000,兵庫県,1980000000,1980年,人
308742,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,29000,奈良県,1980000000,1980年,人
281872,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,30000,和歌山県,1980000000,1980年,人
159039,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,31000,鳥取県,1980000000,1980年,人
210599,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,32000,島根県,1980000000,1980年,人
494696,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,33000,岡山県,1980000000,1980年,人
709663,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,34000,広島県,1980000000,1980年,人
414882,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,35000,山口県,1980000000,1980年,人
217367,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,36000,徳島県,1980000000,1980年,人
266419,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,37000,香川県,1980000000,1980年,人
388552,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,38000,愛媛県,1980000000,1980年,人
214732,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,39000,高知県,1980000000,1980年,人
1119013,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,40000,福岡県,1980000000,1980年,人
216599,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,41000,佐賀県,1980000000,1980年,人
387077,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,42000,長崎県,1980000000,1980年,人
452958,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,43000,熊本県,1980000000,1980年,人
318886,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,44000,大分県,1980000000,1980年,人
292022,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,45000,宮崎県,1980000000,1980年,人
442830,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,46000,鹿児島県,1980000000,1980年,人
226671,00700,全域,000,総人口,001,男,515,総数（15歳以上）,002,有配偶,47000,沖縄県,1980000000,1980年,人
1060598,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,00000,全国,1980000000,1980年,人
719585,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,00001,全国市部,1980000000,1980年,人
341013,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,00002,全国郡部,1980000000,1980年,人
48138,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,01000,北海道,1980000000,1980年,人
12269,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,02000,青森県,1980000000,1980年,人
14780,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,03000,岩手県,1980000000,1980年,人
17338,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,04000,宮城県,1980000000,1980年,人
12950,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,05000,秋田県,1980000000,1980年,人
13792,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,06000,山形県,1980000000,1980年,人
21647,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,07000,福島県,1980000000,1980年,人
26456,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,08000,茨城県,1980000000,1980年,人
18604,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,09000,栃木県,1980000000,1980年,人
20732,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,10000,群馬県,1980000000,1980年,人
38249,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,11000,埼玉県,1980000000,1980年,人
35364,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,12000,千葉県,1980000000,1980年,人
82921,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,13000,東京都,1980000000,1980年,人
43899,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,14000,神奈川県,1980000000,1980年,人
27234,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,15000,新潟県,1980000000,1980年,人
11100,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,16000,富山県,1980000000,1980年,人
10400,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,17000,石川県,1980000000,1980年,人
9070,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,18000,福井県,1980000000,1980年,人
9628,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,19000,山梨県,1980000000,1980年,人
24782,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,20000,長野県,1980000000,1980年,人
20103,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,21000,岐阜県,1980000000,1980年,人
30145,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,22000,静岡県,1980000000,1980年,人
48269,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,23000,愛知県,1980000000,1980年,人
17691,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,24000,三重県,1980000000,1980年,人
10782,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,25000,滋賀県,1980000000,1980年,人
23367,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,26000,京都府,1980000000,1980年,人
67150,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,27000,大阪府,1980000000,1980年,人
46986,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,28000,兵庫県,1980000000,1980年,人
11552,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,29000,奈良県,1980000000,1980年,人
12337,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,30000,和歌山県,1980000000,1980年,人
7349,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,31000,鳥取県,1980000000,1980年,人
11115,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,32000,島根県,1980000000,1980年,人
21607,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,33000,岡山県,1980000000,1980年,人
26971,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,34000,広島県,1980000000,1980年,人
16841,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,35000,山口県,1980000000,1980年,人
12105,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,36000,徳島県,1980000000,1980年,人
12066,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,37000,香川県,1980000000,1980年,人
16584,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,38000,愛媛県,1980000000,1980年,人
10952,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,39000,高知県,1980000000,1980年,人
38990,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,40000,福岡県,1980000000,1980年,人
9172,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,41000,佐賀県,1980000000,1980年,人
15879,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,42000,長崎県,1980000000,1980年,人
18730,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,43000,熊本県,1980000000,1980年,人
14053,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,44000,大分県,1980000000,1980年,人
11479,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,45000,宮崎県,1980000000,1980年,人
20740,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,46000,鹿児島県,1980000000,1980年,人
8230,00700,全域,000,総人口,001,男,515,総数（15歳以上）,003,死別,47000,沖縄県,1980000000,1980年,人
532064,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,00000,全国,1980000000,1980年,人
428998,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,00001,全国市部,1980000000,1980年,人
103066,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,00002,全国郡部,1980000000,1980年,人
31346,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,01000,北海道,1980000000,1980年,人
7304,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,02000,青森県,1980000000,1980年,人
4940,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,03000,岩手県,1980000000,1980年,人
6953,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,04000,宮城県,1980000000,1980年,人
4865,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,05000,秋田県,1980000000,1980年,人
3733,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,06000,山形県,1980000000,1980年,人
7805,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,07000,福島県,1980000000,1980年,人
8545,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,08000,茨城県,1980000000,1980年,人
6650,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,09000,栃木県,1980000000,1980年,人
7189,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,10000,群馬県,1980000000,1980年,人
18007,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,11000,埼玉県,1980000000,1980年,人
16776,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,12000,千葉県,1980000000,1980年,人
63758,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,13000,東京都,1980000000,1980年,人
31740,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,14000,神奈川県,1980000000,1980年,人
7066,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,15000,新潟県,1980000000,1980年,人
4151,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,16000,富山県,1980000000,1980年,人
4522,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,17000,石川県,1980000000,1980年,人
3440,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,18000,福井県,1980000000,1980年,人
3079,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,19000,山梨県,1980000000,1980年,人
5862,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,20000,長野県,1980000000,1980年,人
6455,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,21000,岐阜県,1980000000,1980年,人
15089,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,22000,静岡県,1980000000,1980年,人
25516,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,23000,愛知県,1980000000,1980年,人
5746,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,24000,三重県,1980000000,1980年,人
3293,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,25000,滋賀県,1980000000,1980年,人
11223,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,26000,京都府,1980000000,1980年,人
52873,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,27000,大阪府,1980000000,1980年,人
24965,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,28000,兵庫県,1980000000,1980年,人
4006,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,29000,奈良県,1980000000,1980年,人
5617,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,30000,和歌山県,1980000000,1980年,人
2855,00700,全域,000,総人口,001,男,515,総数（15歳以上）,004,離別,31000,鳥取県,1980000000,1980年,人
